id,trigger,conditions,script,text,options,notes
gaFCFikenhildCavinA2,DialogOptionSelected,$option == gaFC_fikenhildCavinA2,,"""무슨 짓을 하시는지 모르겠습니다. 어, 이름이 뭐든지 함장님. 나한테 말 걸면 안 돼요. 위험해요."" 그는 '위험하다'는 꼬리표를 달고 싶어 가슴을 조금 부풀린다. 
 
""보세요, 무료 조언입니다. 당신과 Scylla에게 좋은 것이 무엇인지 안다면 당신은 이 행성을 떠날 것입니다. 그러니 나를 찾으러 돌아오지 마세요, 알겠죠?""
 
Cavin이 통신판을 쳤습니다. 도어 볼트 풀기. 그는 잠시 당신에게 돌아오지만, 그것에 대해 더 잘 생각하고 구조 속으로 사라집니다.",gaFC_fikenhildCavinLeave:계속,
gaFCFikenhildCavinB,DialogOptionSelected,$option == gaFC_fikenhildCavinB,,"캐빈은 반항적으로 턱을 들었다. ""그렇게 믿고 싶습니다. 스킬라에게 타협하지 않고서는 갈라티아 학원에 팔 수 없다고 말했습니다."" 그는 마치 저주인 것처럼 말한다. ""그들은 그녀의 머리 속으로 들어가거나, 아니면..."" 그의 턱이 굳어졌습니다.
 
그는 숨을 들이쉬고 아래를 내려다본 다음 조용히 계속했습니다. ""그녀는 자신이 이 모든 것보다 더 큰 일에 빠졌다고 생각했습니다. 세상을 바꾸세요. 폐쇄적인 함정에서 우리를 구해주세요. 페르세우스 구역, 즉 모든 전쟁과 파멸을 의미합니다. 믿을 수 있을지 모르겠습니다. 하지만 누군가가 무언가를 생각해낸다면 저는 그렇게 하지 않습니다. 뭔지는 모르겠지만, 실라일 거예요.""",gaFC_fikenhildCavinB2:계속,
gaFCFikenhildCavinB2,DialogOptionSelected,$option == gaFC_fikenhildCavinB2,"$global.gaFC_knowElissasName = true
AddTextSmall ""Elissa Zal의 통신 ID를 받았습니다"" highlight
SetPersonHidden zal false
SetPersonPortrait zal ""zal2""
$global.gaFC_gotZalContactFromCavin = true","""가야 해. 나한테 말 걸면 안 돼. 그녀가 어디 있는지 아는 사람이 있다면 아마 엘리사일 거야.""
 
그는 주위를 둘러보더니 당신과 통신판 사이에 몸을 두고 다음이 표시된 복제 데이터패드를 내밀었습니다. 통신 ID 문자 모양. 그는 침묵을 지키고 있지만 그의 표정은 거의 애원하는 듯한 표정이다. TriPad로 빠르게 글리프를 스캔하면 만족스러운 차임벨이 울립니다.",gaFC_fikenhildCavinB3:계속,
gaFCFikenhildCavinB3,DialogOptionSelected,$option == gaFC_fikenhildCavinB3,,"""제가 말할 입장은 아니지만, 엘리사가 뭔가 알고 있을 수도 있어요. 그녀에게 물어보세요. 그냥... 여기로 돌아오지 마세요."" Cavin은 통신판을 쳐서 도어 볼트를 푼다. 
 
그는 잠시 당신에게 돌아서지만, 생각이 더 깊어지고 구조물 속으로 사라집니다.",gaFC_fikenhildCavinLeave:떠난다,
gaFCFikenhildCavinC,DialogOptionSelected,$option == gaFC_fikenhildCavinC,FireAll FikenhildCavinHubC,"당신의 말에 캐빈은 겁에 질려 통신판을 바라보았습니다. 삐걱거리는 소리가 나며 말하기 시작합니다. Cavin은 고함치는 함대 요원이 아닌 여러분이 들은 두 번째 목소리로 말하면서 뒤로 물러납니다.
 
""그들이 우리를 지켜보고 있다고 말했잖아요! 말했잖아요!""
 
""닥쳐 위로!"" Cavin은 주먹으로 통신판을 두드립니다. ""그리고 듣지 마세요, 으악!"" 그는 당신에게 돌아섰습니다. ""그나저나 당신은 누구요? 왜 나에게 그런 말을 하는 겁니까?""",,
gaFCFikenhildCavinCHub1,FikenhildCavinHubC,,,,"gaFC_fikenhildCavinB:""난 단지 Scylla를 돕고 싶을 뿐이야.""",
gaFCFikenhildCavinCHub2,FikenhildCavinHubC,$global.gaFC_knowFinlaysName,,,"gaFC_fikenhildCavinC2:""우리 친구 Finlay의 작품을 더 재미있게 만드는 것뿐이야.""",
gaFCFikenhildCavinCHub3,FikenhildCavinHubC,$global.gaFC_knowElissasName ,,,"gaFC_fikenhildCavinD:""Elissa Zal을 찾고 있어 Scylla를 도울 수 있을 것 같아.""",
gaFCFikenhildCavinC2,DialogOptionSelected,$option == gaFC_fikenhildCavinC2,$global.gaFC_madeSiyavongAngry = true,"캐빈은 혼란스러운 표정으로 당신을 바라보고 있습니다. ""야, 난 네가 무슨 짓을 하는지 모르겠어. 난 어떤 요원이든 뭐든-"" 통신판이 끼어들며 끼어들었다. ""그들이 스파이라고 말했잖아, 캐빈! 내가 이겼어!""
 
그는 그의 뒤에 있는 통신판을 두들겼다. ""그들은 빠르지 않아, 바보야!"" 그리고 다시 당신에게 """,gaFC_fikenhildCavinC3:계속,
gaFCFikenhildCavinC3,DialogOptionSelected,$option == gaFC_fikenhildCavinC3,,"통신판이 딱딱거리는 소리를 냅니다. ""그래, Cavin에게 말해줘! 가서 진공청소기 빨아먹어!""
 
Cavin이 통신판을 치고 문 볼트가 물러납니다. 캐빈은 출입구로 돌아갑니다. ""다시는 나를 찾으러 오지 마세요. 난 여기 없을 거예요.""
 
문이 쾅 닫히면서 문을 둘러싸고 있는 폴리머 교반 무늬를 통해 파문을 보냅니다. 플라스틱 조각이 흩날리며 땅에 떨어졌습니다.",gaFC_fikenhildCavinLeave:떠난다,
gaFCFikenhildCavinD,DialogOptionSelected,$option == gaFC_fikenhildCavinD,"$player.ethosLiar++
$global.gaFC_knowElissasName = true
AddTextSmall ""Elissa Zal의 통신 ID를 받았습니다"" highlight
SetPersonHidden zal false
SetPersonPortrait zal ""zal2""
$global.gaFC_gotZalContactFromCavin = true","캐빈은 어리둥절한 표정으로 당신을 바라보고 있습니다. ""엘리사에 대해 아시나요? 누구-"" 그는 거의 무의식적으로 당신 뒤의 거리를 내려다봅니다. ""아니, 말하지 마세요.""
 
""가야 해. 나한테 말 걸면 안 돼. 나- 실라가 어디 있는지 아는 사람이 있다면 엘리사일지도 몰라."" 그는 주위를 둘러보며 당신과 통신판 사이에 몸을 두고 통신 ID 문양이 표시된 복제 데이터패드를 내밀었습니다. 그는 진지하게 당신에게 고개를 끄덕였습니다. 신속하게 글리프를 스캔하면 TriPad가 스스로 만족스러운 차임을 울립니다.",gaFC_fikenhildCavinD2:계속,
gaFCFikenhildCavinD2,DialogOptionSelected,$option == gaFC_fikenhildCavinD2,,"Cavin은 ""진심입니다. 여기로 돌아오지 마세요.""라고 말했습니다. 
 
그는 통신판을 치고 문 볼트를 푼다. 그는 잠시 당신을 돌아보지만, 생각이 더 깊어지며 구조물 속으로 사라진다.
",gaFC_fikenhildCavinLeave:떠난다,
gaFCFikenhildCavinE,DialogOptionSelected,$option == gaFC_fikenhildCavinE,,"당신은 목청을 가다듬고 너무 큰 소리로 말합니다. ""Cavin Pharoh. 나는 당신이 Scylla Coureuse의 동료라는 것을 알고 있습니다. 내 조사를 위해 몇 가지 질문에 대답해 주십시오.""
 
Cavin 뒤에 있는 통신판이 딱딱거리며 말합니다. ""캐빈! 그 사람들이 FleetSec 요원이라고 말했잖아요. 아무 말도 하지 마세요!""",gaFC_fikenhildCavinE2:계속,
gaFCFikenhildCavinE2,DialogOptionSelected,$option == gaFC_fikenhildCavinE2,$global.gaFC_beingConspicuous++,"캐빈은 갇힌 동물처럼 창백해졌습니다. 그는 뒤에 있는 통신판을 치며 ""닥쳐!""라고 쉿쉿 소리를 냅니다. ""그리고 너도 닥쳐! 난... 난 너를 몰라, 난 아무것도 몰라. 나한테 말 걸지 마!"" 통신판으로 돌아가서 ""문을 열어보세요. 이 사람은 일종의 미친 사람입니다.""
 
볼트가 물러나고 Cavin이 출입구로 돌아갑니다. ""나에게서 떨어져!"" 문이 쾅 닫히기 전에 그는 마지막으로 소리를 지르며 문을 둘러싼 폴리머 교반 무늬를 통해 파문을 보냈습니다. 플라스틱 조각이 흩날리며 땅에 떨어졌습니다.",gaFC_fikenhildCavinLeave:떠난다,
gaFCFikenhildCavinLeave,DialogOptionSelected,$option == gaFC_fikenhildCavinLeave,"ShowDefaultVisual
FireBest gaFCFikenhildCavinLeaveOption",,,
gaFCFikenhildCavinLeave1,gaFCFikenhildCavinLeaveOption,$global.gaFC_knowSiyavongContact,"$option = gaFC_fikenhildCavinLeaveEnd 0
FireBest DialogOptionSelected",당신은 음울한 현관에서 돌아섰습니다. 이제 Finlay Siyavong에게 전화를 걸어야 할 때가 된 것 같습니다.,,
gaFCFikenhildCavinLeave2,gaFCFikenhildCavinLeaveOption,$global.gaFC_gotZalContactFromCavin,"$option = gaFC_fikenhildCavinLeaveEnd 0
FireBest DialogOptionSelected","당신은 마지막 선택을 신중히 생각하면서 음울한 현관에서 돌아섰습니다. Elissa Zal은 Scylla와 가장 가까운 사람인 것 같으며, 자신을 찾기가 매우 어렵게 되었습니다. 전화를 할 시간이다.",,
gaFCFikenhildCavinLeave2b,gaFCFikenhildCavinLeaveOption,"$global.gaFC_knowSiyavongContact
$global.gaFC_gotZalContactFromCavin","$option = gaFC_fikenhildCavinLeaveEnd 0
FireBest DialogOptionSelected","당신은 당신의 선택을 신중히 생각하여 음울한 현관에서 돌아섰습니다. Elissa Zal은 Scylla와 가장 가까운 사람인 것 같으며, 자신을 찾기가 매우 어렵게 되었습니다. Finlay Siyavong은 Scylla에 대해 많은 질문을 하고 있었기 때문에 뭔가 알고 있을 수도 있습니다. 전화를 할 시간이다.",,
gaFCFikenhildCavinLeave3,gaFCFikenhildCavinLeaveOption,"!$global.gaFC_knowSiyavongContact
!$global.gaFC_gotZalContactFromCavin 
!$siyavongDidInterrupt",FireAll GAFCCavinInterruptLeaveOption,"당신이 음울한 현관에서 돌아서기 시작하자 통신판이 다시 한 번 삐걱거리는 소리를 냅니다. 그것은 말한다. ""네 말이 맞았어, $playerName."" 
 
손상된 통신판으로 인해 왜곡되었지만 거만한 목소리입니다. 이는 엘리트 교육과 연사에게 자연스럽게 나타나는 편안한 권위를 나타냅니다. 
 
""당신은 당신이 Scylla Coureuse를 찾고 있다는 것을 우리가 알기를 원하며 우리가 그것을 인정할 때까지 Fikenhild의 모든 길모퉁이에서 그것을 외칠 것입니다.""",,
gaFCFikenhildCavinLeave3Option1,GAFCCavinInterruptLeaveOption,$global.gaFC_knowFinlaysName,,,"10:gaFC_fikenhildCavinLeaveInterruptA:""Finlay 요원 맞죠?""",
gaFCFikenhildCavinLeave3Option2,GAFCCavinInterruptLeaveOption,,,,"20:gaFC_fikenhildCavinLeaveInterruptB:""알아차리셨군요.""",
gaFCFikenhildCavinLeave3Option3,GAFCCavinInterruptLeaveOption,,,,"
30:gaFC_fikenhildCavinLeaveInterruptC:""Cavin Pharoh 그의 친구처럼 들리는 건 아니잖아요.""",
gaFCFikenhildCavinLeaveInterruptA,DialogOptionSelected,$option == gaFC_fikenhildCavinLeaveInterruptA,"$option = gaFC_fikenhildCavinLeave3End 0
FireBest DialogOptionSelected","""당신의 생각이 옳습니다, 함장님."" 목소리는 거의 감동받은 것 같습니다.",,
gaFCFikenhildCavinLeaveInterruptB,DialogOptionSelected,$option == gaFC_fikenhildCavinLeaveInterruptB,"$option = gaFC_fikenhildCavinLeave3End 0
FireBest DialogOptionSelected","""당신은 주장하는 방법이 있습니다, 함장님."" 목소리가 왠지 짜증나는 것 같다.",,
gaFCFikenhildCavinLeaveInterruptC,DialogOptionSelected,$option == gaFC_fikenhildCavinLeaveInterruptC,"$option = gaFC_fikenhildCavinLeave3End 0
FireBest DialogOptionSelected","""그럴 만한 이유가 있어요."" 목소리는 참을성 있게 말했다.",,
gaFCFikenhildCavinLeave3End,DialogOptionSelected,$option == gaFC_fikenhildCavinLeave3End,"AddTextSmall ""Finlay Siyavong의 comms ID 수신"" highlight
SetPersonHidden siyavong false
$global.gaFC_knowSiyavongContact = true
$option = gaFC_fikenhildCavinLeaveEnd 0
FireBest DialogOptionSelected","""신중한 분위기에서 더 많은 이야기를 해야 합니다, 함장님. 당신이 연락할 수 있도록 내 통신 ID를 전송하겠습니다. 이 무정부주의자들의 둥지를 그대로 두십시오. 위로 돌아와서 우리의 상호 이익에 대해 이야기합시다.""
 
그리고 데이터패드 핑이 울리는 동안 계속되는 딱딱거리는 소리와 함께 죽습니다. 마침내 당신이 찾고 있던 관심을 끌었던 것 같습니다.",,
gaFCFikenhildCavinLeaveEnd,DialogOptionSelected,$option == gaFC_fikenhildCavinLeaveEnd,ShowDefaultVisual,귀하의 경호원은 귀하가 무너져가는 지하 도시를 지나 시민 엘리베이터를 향해 걸어가는 동안 귀하 뒤에서 4m 떨어진 양쪽에서 조용히 측면 위치를 차지합니다.,gaFC_visitFikenhild:트랜짓 허브로 돌아가기,
,,,,,,
"# gaFC Fikenhild, Elissa Zal, contact after Siyavong; a recording",,,,,,
gaFCZalFirstGreeting_INVESTIGATE_FIKENHILD2,PickGreeting,"$id == zal score:1000
!$metAlready score:1000
$global.gaFC_gotZalContactFromCavin score:1000
$global.gaFC_gotIsirahLeadFromSiyavong score:1000
Call $global.gaFC_ref updateData","SetPersonPortrait zal ""zal2""
ShowPersonVisual
$player.metZal = true","여러 자동 전달 서비스가 연결되고 암호화 규정이 안정화됨에 따라 몇 번의 프레임 재설정 후에 회선이 마지 못해 열렸습니다.
 
""$playerName"" Zal은 피드가 마침내 안정화되자 ""저에게 연락하실 거라고 생각했습니다.""
 
그녀의 연설 비디오가 동기화되지 않고 고르지 않습니다. 그녀가 Fikenhild의 지역 볼륨에 있는지, 아니면 그녀가 일종의 jerry-rigged 초파 통신 장치를 설정했는지 궁금합니다. 아니면 이것이 일종의 생성된 페르소나인 경우.","gaFC_zalRecording0:""Siyavong이라는 League 요원이 Scylla가 어디 있는지 알려줬어요.""
gaFC_zalRecording1:""Cavin은 당신이 Scylla 가 어디 있는지 알고 있다고 생각하는 것 같았다.""
gaFC_zalRecording2:""당신은 매우 흥미로운 통신 시스템을 가지고 있습니다.""",
gaFCZalRecording0,DialogOptionSelected,$option == gaFC_zalRecording0,"$option = gaFC_zalRecording3 0
FireBest DialogOptionSelected",,,
gaFCZalRecording1,DialogOptionSelected,$option == gaFC_zalRecording1,"$option = gaFC_zalRecording3 0
FireBest DialogOptionSelected",,,
gaFCZalRecording2,DialogOptionSelected,$option == gaFC_zalRecording2,"$option = gaFC_zalRecording3 0
FireBest DialogOptionSelected",,,
gaFCZalRecording3,DialogOptionSelected,$option == gaFC_zalRecording3,,"Zal은 싱긋 웃었고 그녀가 말하기 전에 그녀의 목소리는 ""그런데 이건 녹음입니다. 저는 확실한... 약속이 있어요.""
 
""리그 정보가 당신이 실라를 만나러 가는 길로 데려간 것으로 알고 있습니다. 그들의 의도를 믿지 말라고 충고하고 싶습니다. 부득이하게 해야 한다면, 불쌍한 캐빈을 내버려두세요. ""그는 오디오가 따라잡기 전에 이미지가 잠시 생각에 잠겨 잠시 멈췄습니다. ""그는 좋은 아이예요.""",gaFC_zalRecording4:계속,
gaFCZalRecording4,DialogOptionSelected,$option == gaFC_zalRecording4,,"""아,"" Zal의 멈춰선 이미지가 활짝 웃는다. ""한 가지 부탁을 드려도 될까요? Sy를 찾으면 꼭 Sub-Kay 브랜드 알라망 한 블록을 가져다주세요. 음, 크릴 페이스트예요. 확인하세요. 블루바, 좋은 것. 실제로는 Fikenhild에서만 구할 수 있습니다. 그녀는 그 밖의 모든 것은 재활용 탱크에 속한다고 말합니다.""
 
""그게 다예요."" 이미지가 나오기 전에 목소리가 조용해졌고, 이미지는 잠시 당신을 바라보았다가 아래로 내려갔습니다. 그런 다음 Elissa Zal의 이미지가 깜빡거리며 손상된 압축 알고리즘 인공물의 모자이크로 변질됩니다.","gaFC_zalRecordingGetTheKrillPaste:너의 쿼터마스터에게 크릴 페이스트를 사오라고 해라
gaFC_zalRecordingEnd:걱정하지 마세요.",
gaFCZalRecordingGetTheKrillPaste,DialogOptionSelected,$option == gaFC_zalRecordingGetTheKrillPaste,"$global.gaFC_gotAlamangForScylla = true
$option = gaFC_zalRecordingEnd
FireBest DialogOptionSelected","""$Player선생님아니요부인?"" 병참 장교가 통신 링크를 통해 묻습니다. 당신은 그들에게 무엇을 해야할지 말하고 이상한 명령에 익숙하기 때문에 그들은 궤도에서 벗어나기 전에 그것이 완료될 것이라고 확신합니다.",,
gaFCZalRecordingEnd,DialogOptionSelected,$option == gaFC_zalRecordingEnd,"ShowDefaultVisual
SetPersonHidden zal true
SetPersonPortrait zal ""zal""
MovePersonToMarket zal kantas_den","당신은 통신 연결을 끊고 Elissa Zal에게 정확히 무슨 일이 일어나고 있는지, 그리고 비공식 초고주파 통신 중계로 보이는 것이 무엇인지 궁금해합니다. 모든 답은 이시라 성계에서 찾을 수 있는 것 같습니다.",cutCommLink:통신 링크 종료,
,,,,,,
"# gaFC Fikenhild, Elissa Zal contact before Siyavong",,,,,,
gaFCZalFirstGreeting_INVESTIGATE_FIKENHILD,PickGreeting,"$id == zal score:1000
!$metAlready score:1000
$global.gaFC_gotZalContactFromCavin score:1000
Call $global.gaFC_ref updateData","SetPersonPortrait zal ""zal2""
ShowPersonVisual
$metAlready = true
$player.metZal = true","여러 자동 전달 서비스가 연결되고 암호화 규정이 안정화됨에 따라 몇 번의 프레임 재설정 후에 회선은 마지 못해 열리게 됩니다.
 
""$playerName"" Zal은 피드가 마침내 안정되자 ""Cavin이 나에게 당신을 기대하라고 말했습니다.""
 
그녀의 연설 비디오가 동기화되지 않고 고르지 않습니다. 그녀가 Fikenhild의 지역 볼륨에 있는지, 아니면 그녀가 일종의 jerry-rigged 초파 통신 장치를 설정했는지 궁금합니다. 아니면 이것이 일종의 생성된 페르소나인 경우.","gaFC_zalLookingForScylla:""Cavin은 당신이 Scylla가 어디 있는지 알고 있다고 생각하는 것 같았다.""
gaFC_zalInterestingComms:""당신은 매우 흥미로운 통신 시스템을 가지고 있습니다.""",
gaFCZalLookingForScylla,DialogOptionSelected,$option == gaFC_zalLookingForScylla,$whatDidHeSeeInYou = true 0,"Zal은 웃으며 그녀가 말하기 전에 ""예, 많은 사람들이 Scylla를 찾고 있습니다. 하지만 당신은 나를 대신 찾았습니다. Cavin Pharoh는 어떤 이유로 당신을 믿었습니다.""라고 말합니다.","gaFC_zalDontSeeWhyA:""설득력 있는 주장을 한 것 같아요.""
gaFC_zalDontSeeWhyB:""왜냐면 난 MuniSec이나 함대에서 일하는 게 아니니까.""
gaFC_zalDontSeeWhyC:""나의 원초적인 카리스마였을 것이다.""
gaFC_zalDontSeeWhyD:""나도 그래. 하지만 그는 그랬어.""",
gaFCZalInterestingComms,DialogOptionSelected,$option == gaFC_zalInterestingComms,,"""좋아해요?"" Zal은 미소를 지으며 이미지가 포착되기 전에 ""이건 내 작은 프로젝트 중 하나입니다.""라고 말하기 시작합니다.","gaFC_zalInterestingCommsA:""이게 Scylla와 소통하는 방법인가요?""
gaFC_zalInterestingCommsB:""Scylla가 이걸 이용해서 연구를 계속하나요?""
gaFC_zalInterestingCommsC:""내가 인간과 대화하는 거야 아니면 모의 페르소나와 대화하는 거야?""",
gaFCZalInterestingCommsA,DialogOptionSelected,$option == gaFC_zalInterestingCommsA,"$option = gaFC_zalDontSeeWhy 0
FireBest DialogOptionSelected","Zal의 이미지는 ""그렇지 않았다면 어떻게 했겠습니까?""라고 한숨을 쉬었습니다. 그녀는 손가락을 치켜들었다. ""그게 전부입니다. 자세한 내용은 없습니다. 정보 보안을 잘 실천하는 것이 중요합니다. 아시죠?""",,
gaFCZalInterestingCommsB,DialogOptionSelected,$option == gaFC_zalInterestingCommsB,"$option = gaFC_zalDontSeeWhy 0
FireBest DialogOptionSelected","""이 특별한 시스템은 아닙니다."" Zal의 이미지는 반쯤 미소를 짓고 손가락을 치켜세웁니다. ""그게 전부입니다. 자세한 내용은 없습니다. 좋은 정보보안을 실천하는 것이 중요합니다. 아시죠?""",,
gaFCZalInterestingCommsC,DialogOptionSelected,$option == gaFC_zalInterestingCommsC,"$option = gaFC_zalDontSeeWhy 0
FireBest DialogOptionSelected","""당신은 철학자입니까?"" Zal의 이미지가 당신에게 눈을 굴립니다. ""나한테 말하고 있는 거 맞지? 그거면 충분하지 않아?"" 그녀는 손가락을 치켜들었습니다. ""나한테서 자세한 내용은 알 수 없습니다. 정보 보안을 잘 실천하는 것이 중요합니다. 아시죠?""",,
gaFCZalDontSeeWhy,DialogOptionSelected,$option == gaFC_zalDontSeeWhy,,"""나쁜 정보보안 얘기가 나와서 말인데, Cavin Pharoh. 그는 어떤 이유로 당신을 믿었습니다.""
 
그녀의 비동기화된 이미지가 당신을 연구하는 것처럼 보입니다. ""왜인지 모르겠어요.""","gaFC_zalDontSeeWhyA:""설득력 있는 주장을 한 것 같아요.""
gaFC_zalDontSeeWhyB:""왜냐면 난 MuniSec이나 함대에서 일하는 게 아니니까.""
gaFC_zalDontSeeWhyC:""나의 원초적인 카리스마였을 것이다.""
gaFC_zalDontSeeWhyD:""나도 그래. 하지만 그는 그랬어.""",
gaFCZalDontSeeWhyA,DialogOptionSelected,$option == gaFC_zalDontSeeWhyA,"$option = gaFC_whatDidHeSeeInYou 0
FireBest DialogOptionSelected",,,
gaFCZalDontSeeWhyB,DialogOptionSelected,$option == gaFC_zalDontSeeWhyB,"$option = gaFC_whatDidHeSeeInYou 0
FireBest DialogOptionSelected",,,
gaFCZalDontSeeWhyC,DialogOptionSelected,$option == gaFC_zalDontSeeWhyC,"$player.ethosCocky++
$option = gaFC_whatDidHeSeeInYou 0
FireBest DialogOptionSelected",,,
gaFCZalDontSeeWhyD,DialogOptionSelected,$option == gaFC_zalDontSeeWhyD,"$option = gaFC_whatDidHeSeeInYou 0
FireBest DialogOptionSelected",,,
gaFCZalDontSeeWhy2,DialogOptionSelected,$option == gaFC_whatDidHeSeeInYou 0,,"""내 생각에도 그것은 당신에게서 보이는 모습 때문인 것 같아요."" 잘은 고민하는 듯이 턱을 문지른다. ""내 생각에 Cavin은... 혼란을 본 것 같습니다. 정확히 말하면 혼돈이 아니라 변화입니다. 네."" 
 
잘의 영상이 살짝 깜박입니다.
 
""함장님, 제가 당신을 돕겠다고 결심했습니다. 이제 스킬라에게 약속을 했으니... 제가 당신이라면 따르겠습니다. 레오니스의 길에서.""","gaFC_zalLeonisWho:""누구요?""
gaFC_zalLeonisIsirah:""Leonis 두목 - 당신은 Isirah 시스템을 말하는군요.""",
gaFCZalLeonisWho,DialogOptionSelected,$option == gaFC_zalLeonisWho,,"""군주 레오니스, 47주기? 이시라 성계를 침공했습니까? 피와 정복?""
 
그녀의 이미지가 당신을 쳐다보고 있습니다. ""보세요, 스킬라가 묻는다면 내가 당신에게 말한 것처럼 최선을 다했다고 말해주세요. 그녀를 찾을 수 있는 곳을 큰 소리로 알려주는 것이 아니라 신비한 수수께끼입니다.""",gaFC_zalAlamang:계속,
gaFCZalLeonisIsirah,DialogOptionSelected,$option == gaFC_zalLeonisIsirah,,"그녀의 모습은 ""말한 적 없다""며 신비롭게 웃는 모습이다.",gaFC_zalAlamang:계속,
gaFCZalAlamang,DialogOptionSelected,$option == gaFC_zalAlamang,$global.gaFC_gotAlamangForScylla = true,"""아, 한 가지 더- 그녀를 찾으면 반드시 Sub-Kay 브랜드 알라망 한 블록을 가져오십시오. 그것이 블루바인지 확인하십시오. 좋은 것입니다. 실제로는 Fikenhild에서만 구입할 수 있습니다. 그녀는 다른 모든 것을 말합니다. 재활용 탱크에 속해 있어요.""","gaFC_zalAllYouGet:""'Isirah system' and a block of krill paste, that's all I get?""",
gaFCZalAllYouGet,DialogOptionSelected,$option == gaFC_zalAllYouGet,,"""예."" 그녀의 이미지는 웃으며 당신에게 그렇게 형편없는 대답을 하게 되어 기뻐요.
 
""보세요, 그녀는 나에게 자신의 정확한 위치를 말하지 않습니다. 게다가, 그것은 변합니다. 나는 단지 그녀가 시스템에서 신호를 받을 수 있는지 확인합니다.. . 글쎄요, Sy가 당신에게 말해줄 몫입니다. 그녀가 원하면.""
 
""행운을 빌어 혼돈을 뿌리세요, 함장님.""
 
Elissa Zal의 이미지가 깜박거리며 손상된 압축 알고리즘 인공물의 모자이크로 변질됩니다.",gaFC_zalLeave:통신 종료,
gaFCZalLeave,DialogOptionSelected,$option == gaFC_zalLeave,"ShowDefaultVisual
SetPersonHidden zal true
SetPersonPortrait zal ""zal""
MovePersonToMarket zal kantas_den
$global.gaFC_gotIsirahLeadFromZal = true
$global.gaFC_searchIsirah = true
Call $global.gaFC_ref updateStage","당신은 통신 연결을 끊고 비공식 하이퍼웨이브 통신 중계처럼 보이는 것에 정확히 무슨 일이 일어나고 있는지 궁금해합니다. 모든 답은 이시라 시스템에서 찾을 수 있는 것 같습니다.
 
그리고 잊어버리기 전에 병참장교에게 이 특별한 크릴 페이스트 블록을 집으라는 지시를 보냅니다.",cutCommLink:계속,
,,,,,,
"# gaFC Fikenhild, chatting with Finlay Siyavong",,,,,,
GAFCSiyavongFirstGreeting_INVESTIGATE_FIKENHILD,PickGreeting,"$id == siyavong score:1000
$market.gaFC_coureuseInvestigation
!$global.gaFC_gotIsirahLeadFromZal
$global.gaFC_triedToSeeCavin
#Call $global.gaFC_ref updateData","ShowPersonVisual
$metAlready = true
$player.metSiyavong = true
$spokeOpenly = true
FireBest FCFikenhildSiyavongGreeting",,,
GAFCSiyavongFikenhildGreet1,FCFikenhildSiyavongGreeting,"!$global.gaFC_madeSiyavongAngry
!$global.gaFC_knockedAnyway","$option = gaFC_fikenhildSiyavongHub 0
FireBest DialogOptionSelected","""$playerName. 마지막으로 직접 통화하겠습니다. Finlay Siyavong이 도와드리겠습니다.""",,
GAFCSiyavongFikenhildGreet2,FCFikenhildSiyavongGreeting,"$global.gaFC_knockedAnyway
!$global.gaFC_madeSiyavongAngry","AdjustRepPerson siyavong INHOSPITABLE -5
$option = gaFC_fikenhildSiyavongHub 0
FireBest DialogOptionSelected","""$playerName. 저는 Finlay Siyavong입니다. 마침내 우리는 직접적으로, 그리고 신중하게 말할 수 있게 되었습니다."" 그는 고개를 숙이고 표정이 굳어졌다. ""재치와 함께 연습하면 좋을 기술입니다.""
 
그는 옆으로 시선을 돌렸다. 아르코 언더시티. 강조하겠습니다."" 그는 말을 멈췄다. ""아니요, 당면한 문제에 대해 이야기합시다.""",,
GAFCSiyavongFikenhildGreet3,FCFikenhildSiyavongGreeting,$global.gaFC_madeSiyavongAngry,"AdjustRepPerson siyavong INHOSPITABLE -10
$option = gaFC_fikenhildSiyavongHub 0
FireBest DialogOptionSelected","""저는 Finlay Siyavong입니다. 귀하는 이미 이 사실을 알고 있으며 서비스에 관심 있는 사람들 앞에서 그 지식을 보여주고 싶어한다는 점을 분명히 밝혔습니다."" 
 
""분명히 말씀드리자면, 리그는 성계 간 상인들에게 특정한 권리를 보장합니다. 하지만 당신의 '다채로운' 기록을 신중히 생각하면 그런 지위조차 당신에게 돌리는 것은 무리입니다. 비록 당신이 이 기관과 당신의 명시적인 요청에 대한 존중을 표시하지 않더라도 말입니다. , 단순히 당신을 가둘 수는 없습니다."" 그는 팔짱을 끼고 뒤로 몸을 기댄다. ""하고 싶은 만큼요.""
 
""하지만 더 중요한 문제를 논의해야 하는데, $playerName 아닌가요?""",,
GAFCSiyavongFikenhildHub,DialogOptionSelected,$option == gaFC_fikenhildSiyavongHub,FireAll GAFCSiyavongFikenhildHubOptions,,,
GAFCSiyavongFikenhildHub1,GAFCSiyavongFikenhildHubOptions,!$askedWhatDoYouDo ,,,"gaFC_fikenhildSiyavongWhatDo:""당신이 하는 일이 정확히 무엇인가요?""",
GAFCSiyavongFikenhildHub2,GAFCSiyavongFikenhildHubOptions,"!$tookYouLongEnough
$global.gaFC_beingConspicuous >= 3",,,"gaFC_fikenhildSiyavongLongEnough:""당신이 나에게 연락하기에 충분히 오래 걸렸습니다.""",
GAFCSiyavongFikenhildHub3,GAFCSiyavongFikenhildHubOptions,,,,"gaFC_fikenhildSiyavongWhereScylla:""Scylla Coureuse는 어디 있죠?""",
